{'acc': 97.7872340425532, 'f1': 86.65667166416792, 'p': 91.16719242902208, 'r': 82.57142857142857, 'f1_per': 93.60613810741688, 'p_per': 96.3157894736842, 'r_per': 91.04477611940298, 'f1_loc': 84.58781362007169, 'p_loc': 88.7218045112782, 'r_loc': 80.82191780821918, 'f1_org': 82.59740259740259, 'p_org': 89.32584269662921, 'r_org': 76.81159420289855}
{'acc': 97.88449848024317, 'f1': 88.08290155440415, 'p': 91.39784946236558, 'r': 85.0, 'f1_per': 95.67430025445292, 'p_per': 97.91666666666666, 'r_per': 93.53233830845771, 'f1_loc': 87.54448398576513, 'p_loc': 91.11111111111111, 'r_loc': 84.24657534246576, 'f1_org': 81.31313131313131, 'p_org': 85.18518518518519, 'r_org': 77.77777777777779}
{'acc': 97.96352583586626, 'f1': 87.96433878157504, 'p': 91.64086687306502, 'r': 84.57142857142857, 'f1_per': 96.46464646464646, 'p_per': 97.94871794871794, 'r_per': 95.02487562189054, 'f1_loc': 84.79427549194992, 'p_loc': 88.76404494382022, 'r_loc': 81.16438356164383, 'f1_org': 83.88746803069054, 'p_org': 89.13043478260869, 'r_org': 79.22705314009661}
{'acc': 98.03647416413374, 'f1': 88.29629629629629, 'p': 91.6923076923077, 'r': 85.14285714285714, 'f1_per': 96.46464646464646, 'p_per': 97.94871794871794, 'r_per': 95.02487562189054, 'f1_loc': 86.01769911504424, 'p_loc': 89.01098901098901, 'r_loc': 83.21917808219177, 'f1_org': 83.29048843187661, 'p_org': 89.01098901098901, 'r_org': 78.26086956521739}
{'acc': 97.98784194528875, 'f1': 87.57396449704143, 'p': 90.79754601226993, 'r': 84.57142857142857, 'f1_per': 96.22166246851384, 'p_per': 97.44897959183673, 'r_per': 95.02487562189054, 'f1_loc': 86.07142857142856, 'p_loc': 89.92537313432835, 'r_loc': 82.53424657534246, 'f1_org': 81.0126582278481, 'p_org': 85.1063829787234, 'r_org': 77.29468599033817}
{'acc': 97.7629179331307, 'f1': 87.45360059391238, 'p': 91.03554868624421, 'r': 84.14285714285714, 'f1_per': 95.73934837092733, 'p_per': 96.46464646464646, 'r_per': 95.02487562189054, 'f1_loc': 85.14492753623188, 'p_loc': 90.38461538461539, 'r_loc': 80.47945205479452, 'f1_org': 82.32323232323233, 'p_org': 86.24338624338624, 'r_org': 78.74396135265701}
{'acc': 98.03647416413374, 'f1': 88.72512896094325, 'p': 91.62861491628614, 'r': 86.0, 'f1_per': 95.95959595959596, 'p_per': 97.43589743589743, 'r_per': 94.5273631840796, 'f1_loc': 87.81362007168458, 'p_loc': 92.10526315789474, 'r_loc': 83.9041095890411, 'f1_org': 82.87841191066998, 'p_org': 85.20408163265306, 'r_org': 80.67632850241546}
{'acc': 97.93313069908814, 'f1': 89.4775570272259, 'p': 92.26100151745068, 'r': 86.85714285714286, 'f1_per': 96.22166246851384, 'p_per': 97.44897959183673, 'r_per': 95.02487562189054, 'f1_loc': 88.61209964412812, 'p_loc': 92.22222222222223, 'r_loc': 85.27397260273972, 'f1_org': 84.00000000000001, 'p_org': 87.04663212435233, 'r_org': 81.15942028985508}
{'acc': 97.98176291793314, 'f1': 88.74172185430464, 'p': 91.50227617602428, 'r': 86.14285714285714, 'f1_per': 96.95431472081218, 'p_per': 98.96373056994818, 'r_per': 95.02487562189054, 'f1_loc': 88.77005347593582, 'p_loc': 92.56505576208178, 'r_loc': 85.27397260273972, 'f1_org': 80.6930693069307, 'p_org': 82.74111675126903, 'r_org': 78.74396135265701}
{'acc': 97.93920972644376, 'f1': 88.87251289609432, 'p': 91.78082191780823, 'r': 86.14285714285714, 'f1_per': 95.91836734693877, 'p_per': 98.42931937172776, 'r_per': 93.53233830845771, 'f1_loc': 89.00709219858156, 'p_loc': 92.27941176470588, 'r_loc': 85.95890410958904, 'f1_org': 81.79551122194513, 'p_org': 84.5360824742268, 'r_org': 79.22705314009661}
{'acc': 98.12765957446808, 'f1': 89.23076923076923, 'p': 91.57894736842105, 'r': 87.0, 'f1_per': 96.5, 'p_per': 96.98492462311557, 'r_per': 96.01990049751244, 'f1_loc': 88.61209964412812, 'p_loc': 92.22222222222223, 'r_loc': 85.27397260273972, 'f1_org': 82.87841191066998, 'p_org': 85.20408163265306, 'r_org': 80.67632850241546}
{'acc': 97.92705167173253, 'f1': 88.52701702442634, 'p': 91.85867895545314, 'r': 85.42857142857143, 'f1_per': 96.70886075949367, 'p_per': 98.4536082474227, 'r_per': 95.02487562189054, 'f1_loc': 87.45519713261649, 'p_loc': 91.72932330827066, 'r_loc': 83.56164383561644, 'f1_org': 81.90954773869348, 'p_org': 85.34031413612566, 'r_org': 78.74396135265701}
{'acc': 97.8176291793313, 'f1': 88.03545051698671, 'p': 91.13149847094802, 'r': 85.14285714285714, 'f1_per': 96.46464646464646, 'p_per': 97.94871794871794, 'r_per': 95.02487562189054, 'f1_loc': 86.78571428571429, 'p_loc': 90.67164179104478, 'r_loc': 83.21917808219177, 'f1_org': 81.4070351758794, 'p_org': 84.81675392670157, 'r_org': 78.26086956521739}
{'acc': 98.01823708206688, 'f1': 89.3961708394698, 'p': 92.24924012158054, 'r': 86.71428571428571, 'f1_per': 97.73299748110831, 'p_per': 98.9795918367347, 'r_per': 96.51741293532339, 'f1_loc': 88.25622775800711, 'p_loc': 91.85185185185185, 'r_loc': 84.93150684931507, 'f1_org': 82.70676691729324, 'p_org': 85.9375, 'r_org': 79.71014492753623}
{'acc': 97.9756838905775, 'f1': 88.85608856088561, 'p': 91.90839694656489, 'r': 86.0, 'f1_per': 97.73299748110831, 'p_per': 98.9795918367347, 'r_per': 96.51741293532339, 'f1_loc': 86.89407540394973, 'p_loc': 91.32075471698113, 'r_loc': 82.87671232876713, 'f1_org': 82.7930174563591, 'p_org': 85.56701030927834, 'r_org': 80.19323671497585}
{'acc': 97.87841945288753, 'f1': 88.59455481972039, 'p': 91.350531107739, 'r': 86.0, 'f1_per': 94.9748743718593, 'p_per': 95.93908629441624, 'r_per': 94.02985074626866, 'f1_loc': 87.81362007168458, 'p_loc': 92.10526315789474, 'r_loc': 83.9041095890411, 'f1_org': 83.37468982630271, 'p_org': 85.71428571428571, 'r_org': 81.15942028985508}
